"","created_at","screen_name","text","is_retweet"
"1",2019-01-15 22:22:52,"filipowi","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"2",2019-01-15 22:14:33,"granum_salis1","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"3",2019-01-15 22:11:00,"dlapolski","QuizoDZIK czyli 4 dzikie absurdy #ASF #dziki #komentarz #polityka #quiz https://t.co/nZcms2cCik https://t.co/2rzhkXt6ft",FALSE
"4",2019-01-15 21:55:09,"dlapolski","Niemcy zgodnie ze swoją tradycją dokonali ostatecznego rozwiązania kwestii dzików #ASF #dziki #Niemcy https://t.co/G8oogWsZuC https://t.co/4AXjapN17g",FALSE
"5",2019-01-15 22:10:40,"RewerGrzegorz","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"6",2019-01-15 21:31:10,"lukasz_kurka","Brak oznaczeń obszaru polowania, patroszenie dzików w terenie,  pozostawianie wnętrzności na śniegu, a nawet – według jednej relacji –  grożenie bronią. Oto weekendowe polowania z powodu #ASF. https://t.co/q95zjrMZkm @MinSrodowiska @MRiRW_GOV_PL",FALSE
"7",2019-01-15 21:23:13,"husar1610","Włodzimierz Cimoszewicz na fejsie pisze, że odstrzał #dzik.a nie  rozwiąże problemu #ASF. Zamiast proponuje całkowitą likwidacje hodowli trzody chlewnej w części Polski. To źródło utrzymania tysięcy mieszkańców wsi i rynek wart w Polsce miliardy #Jedziemy #Minęłą20 https://t.co/1MtamR8ed5",TRUE
"8",2019-01-15 21:15:37,"Beata11Ann","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"9",2019-01-15 21:04:42,"SSR57B",".@N_Kaczmarczyk: Wszyscy mówią o dzikach, a zapominają o mordowanych dzieciach. Co to za znieczulica? https://t.co/ic10NfsHrS #ASF #dziki #odstrzał #myśliwi https://t.co/ZpIqi7WVQo",TRUE
"10",2019-01-15 20:56:08,"dnksebastian","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"11",2019-01-15 20:45:35,"gretzyngier","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"12",2019-01-15 20:43:56,"wojciechglowack","Włodzimierz Cimoszewicz na fejsie pisze, że odstrzał #dzik.a nie  rozwiąże problemu #ASF. Zamiast proponuje całkowitą likwidacje hodowli trzody chlewnej w części Polski. To źródło utrzymania tysięcy mieszkańców wsi i rynek wart w Polsce miliardy #Jedziemy #Minęłą20 https://t.co/1MtamR8ed5",TRUE
"13",2019-01-15 20:40:58,"andrzejpuscian1","Włodzimierz Cimoszewicz na fejsie pisze, że odstrzał #dzik.a nie  rozwiąże problemu #ASF. Zamiast proponuje całkowitą likwidacje hodowli trzody chlewnej w części Polski. To źródło utrzymania tysięcy mieszkańców wsi i rynek wart w Polsce miliardy #Jedziemy #Minęłą20 https://t.co/1MtamR8ed5",TRUE
"14",2019-01-15 20:30:39,"twitkcg","Włodzimierz Cimoszewicz na fejsie pisze, że odstrzał #dzik.a nie  rozwiąże problemu #ASF. Zamiast proponuje całkowitą likwidacje hodowli trzody chlewnej w części Polski. To źródło utrzymania tysięcy mieszkańców wsi i rynek wart w Polsce miliardy #Jedziemy #Minęłą20 https://t.co/1MtamR8ed5",TRUE
"15",2019-01-15 19:40:06,"piotrsworz","Zobaczcie
reakcja myśliwego gdy @adam_bohdan mówi, że polowanie jest niezgłoszone więc nielegalne! Wcześniej celował do niego ze sztucera!!!

Mówimy dziś o agresji, a agresywni narwańcy biegają z bronią po lasach nielegalnie polując #ASF #dziki 
źr: https://t.co/7TP8Q3T6iC https://t.co/7BQWLwEORY",TRUE
"16",2019-01-15 19:00:38,"Rrynias","Trudno uwierzyć, ale oni naprawdę organizują imprezę z psami-dzikarzami w czerwonej strefie #ASF... 
Może rolnicy w końcu się zorientują, że to nie dziki są winne?
cc @AgropolskaPL @StrefaAGRO @topagrar_PL https://t.co/0AHn2ipYD5",TRUE
"17",2019-01-15 18:38:08,"an_rudz","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"18",2019-01-15 18:38:01,"an_rudz","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"19",2019-01-15 18:35:53,"IrenaLuczak65","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"20",2019-01-15 18:35:44,"IrenaLuczak65","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"21",2019-01-15 18:32:37,"krawemi","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"22",2019-01-15 18:32:30,"krawemi","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"23",2019-01-15 18:27:16,"P_Kingusia","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"24",2019-01-15 18:27:10,"P_Kingusia","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"25",2019-01-15 18:26:23,"TvpBia","Proekologiczni aktywiści w naszym regionie zablokowali w weekend kilka zbiorowych polowań w Podlaskiem. Ekologów, myśliwych i rolników w związku z ASF zaczynają ponosić nerwy.

https://t.co/FavguGhJnm

#ASF #podlaskie https://t.co/1rN3LutOyY",FALSE
"26",2019-01-15 18:24:43,"wilkas87","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"27",2019-01-15 18:24:34,"wilkas87","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"28",2019-01-15 18:22:55,"GabPawl","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"29",2019-01-15 18:22:46,"GabPawl","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"30",2019-01-15 18:22:36,"tokmada","Zobaczcie
reakcja myśliwego gdy @adam_bohdan mówi, że polowanie jest niezgłoszone więc nielegalne! Wcześniej celował do niego ze sztucera!!!

Mówimy dziś o agresji, a agresywni narwańcy biegają z bronią po lasach nielegalnie polując #ASF #dziki 
źr: https://t.co/7TP8Q3T6iC https://t.co/7BQWLwEORY",TRUE
"31",2019-01-15 18:22:01,"TomaszF65","Zobaczcie
reakcja myśliwego gdy @adam_bohdan mówi, że polowanie jest niezgłoszone więc nielegalne! Wcześniej celował do niego ze sztucera!!!

Mówimy dziś o agresji, a agresywni narwańcy biegają z bronią po lasach nielegalnie polując #ASF #dziki 
źr: https://t.co/7TP8Q3T6iC https://t.co/7BQWLwEORY",TRUE
"32",2019-01-15 18:19:40,"BartSobcz","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"33",2019-01-15 18:19:33,"BartSobcz","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"34",2019-01-15 18:16:58,"92Wera","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"35",2019-01-15 18:16:52,"92Wera","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
"36",2019-01-15 18:14:03,"Glowacka_Aneta","Nowelizacja ustawy o ochronie zdrowia zwierząt i zwalczaniu chorób zakaźnych zakłada wsparcie na poziomie kilku miliardów zł dla rolników. Uważam,że koszty w podatkach powinni ponieść ci,którzy bronią dzików przed odstrzałem. #asf https://t.co/hBvAm9E3sV",TRUE
"37",2019-01-15 18:13:58,"Glowacka_Aneta","Miliardy dla rolników na walkę z ASF https://t.co/WzAIBFCr9m @EwaZajaczkowska #rolnicy #ASF #ustawa #rekompensata #bioasekuracja #ogrodzenia #dziki https://t.co/TfvphEinnB",TRUE
